Label	Kalimat
Non_HS	nunggu ya
HS	situ ORANG atau Badut Kok gendut
Non_HS	lihat ada badut disana
HS	asuuuuuuuuuuu
HS	Udah Bodoh Hidup Lagi!!!!
Non_HS	sayang sini sama aku
Non_HS	agak meresahkan
HS	henti tolol mu
Non_HS	cukup jangan bikin aku halu terlalu dalam
Non_HS	pesona aku pesona
HS	kau banyak omong dasar babi
HS	bacot
Non_HS	mari kawan kuat iman mari kawan kuat iman
HS	bangsat ini manusia
HS	bikin caption pake sabda nabi tapi kelakuan kaya babi
Non_HS	bengek
Non_HS	jangan sampai tanganku ini melayang ke kepala kau
HS	ingat anak anak tetap berada di jalan setan
Non_HS	permisi kak gamau jadi jodoh saya
Non_HS	benar benar udah ga waras
Non_HS	harus aku letus balon hijau agar kau tahu hatiku sangat kacau
HS	walaupun psbb seribu tahun kalo masih tolol apa gunanya
Non_HS	laporan cuaca hari ini sangat cerah secerah senyum mu
Non_HS	ga boleh gitu lu
Non_HS	mengapa hatiku cenat cenut tiap ada kamu
Non_HS	dewasa dikit masa harus dikasih tau
Non_HS	ga sanggup
HS	Maap Tidak Terima Orang TOLOL
HS	Meditasi Sebelum Menghujat
HS	apasi Pasi pasi Anjing
Non_HS	opini yang bagus warga indonesia sekarang bayar hutang
Non_HS	jangan ditahan gue mau ngamuk
Non_HS	aku galiat aku madep tembok
Non_HS	rela nguli sampai ke arab biar pulang bisa cosplay jadi abu lahab
Non_HS	nanti juga sembuh sendiri
Non_HS	indonesia patut bangga memiliki menteri paling transparan d dunia
Non_HS	gue kalo lagi sendirian jarang ngobrol
Non_HS	jangan bikin gaduh
Non_HS	opini yang bagus nak sekarang pamit dulu sama keluarga
HS	bangsat kau
HS	Disuruh Patuhi 5M malah ngambil 14M kontol emang
Non_HS	seketika aku terkedjoet
HS	goblok puazzzz
Non_HS	lah ngatur
HS	si Goblok berani berani nya
HS	eits tidak boleh begitu wahai lonte, anak gendut hitam
HS	Nih mamam otak biar ada otaknya sedikit
Non_HS	jakarta dilarang beriziq dilarang gaduh
Non_HS	woy diem diem bae demo napa demo
Non_HS	php bukan pemberi harapan palsu tapi orang madura jualan hp
Non_HS	kau yang kuasai bumi kah
Non_HS	allahuakbar
Non_HS	berdebat dengan satu orang bodoh hanya akan membuat orang bodohnya jadi dua
Non_HS	maju tak gentar membela yang bayar
HS	gue tau goblok itu gratis tapi jangan lo borong semua anjing
Non_HS	argumen yang bagus pelanggan sekarang restart routernya
HS	ya tuhan kenapa ni anak goblok banget
HS	stress
Non_HS	beri aku seorang bintang emon akan kuguncang seisi kabinet
Non_HS	orang jahat lahir dari orang baik yang pasang indihome
Non_HS	sial menjijikan sekali
Non_HS	tetap sabar walau liat dia sama orang lain
Non_HS	hmmm iya iya
Non_HS	mau ngomong apa lagi ya gw udah ga sanggup
Non_HS	kenapa aku harus terlahir di indonesia
Non_HS	mana sempat udah di ss
Non_HS	pakai sorban dan gamis saya pikir dia ulama ternyata piccolo pantesan emosian
Non_HS	begini sekarang indonesia
Non_HS	permisi bu ini ada bantuan sedikit buat ibu tapi saya potong ceban
Non_HS	org yg suka korupsi disebut koruptor org yg suka provokasi disebut provokator org yg suka kabur disebut kaburator
Non_HS	tidak aku merasa sudah mimpi sangat panjang
Non_HS	pasti tata krama belum ditemukan disini
Non_HS	yeah perkelahian sangat menghibur
Non_HS	zaman sekarang melajang itu trendi
HS	wuuu kontol
HS	emang gapunya otak punya nya cuma KONTOL!!!
Non_HS	tetap kalem walau sedang jomblo
HS	tolong sudahi kebodohan ini
Non_HS	aku tanya sekali lagi siapa itu hyung dan kenapa dia bengek
Non_HS	alhamdulillah bersamamu aku bahagia
Non_HS	maaf saya baru nongol ada berita apa ya
Non_HS	hadeh bingung makan apa ya
Non_HS	bapak diminta menghadap presiden
Non_HS	kamu kira saya peduli enggak
Non_HS	mending rakit pc
Non_HS	cowok adek mana udah nunggu depan gang mak ganteng doang jemput cewe depan gang
Non_HS	orang lain terus aku kapan ya allah
Non_HS	iri bilang bos
Non_HS	kamu jalan ke hujung sana dan boleh pergi kerahmatullah
Non_HS	kalau anda tidak bisa tutup pintu jangan buka pintu silahkan terbang
Non_HS	enak ya kalo ga punya otak idupnya ga pusing
Non_HS	gue getok lu
Non_HS	ya allah salah mulu
Non_HS	aku tak menangisimu hu hu hu ku masih bisa tertawa awkoawkaoawk
